sentence	sentence_id	locale	reason
強風と、冷え込みの強い、神宮のグラウンドである。	01081f9724fecc1fac2b612d1d81c8429e5ca6bb901bac98f7f2f63d43efa3c1	ja	grammar-or-spelling
あの先生は大変りっぱな方です。	1efd623d2e44c8b56ead7666ad8ce1843f1d902de2a6dbca54bc3561a73bef81	ja	grammar-or-spelling
当時あやしいわーるどに常駐していた擬古猫が空白にて発表	8cf6988c5ee30d5a0c032da0d7cae036ee56460cb7f38a168cdd3bd3dbd41bda	ja	grammar-or-spelling
何気なく空を見上げていた青空に、ポッカリと、入道雲が、あちこちに浮かんで、見おろしていた。	ee03c044e22f16eb0bea097c02709a9ee3c07238e6e668ae22690bb179abcf49	ja	grammar-or-spelling
一年中、擦り切れた、小倉の詰めえり服、一着でとおす。	7684b56e2a1d12252d5b98ed804b33274e26b8da926cb60ca510edf7f7c00a87	ja	grammar-or-spelling
十分間の休憩を与えられ、乱れた髪を結い直し、肩の汗をぬぐって、支度部屋で呼吸を整える。	30817d2affcf51c2abaa8cb18b99c4663786442bcb41ab449d79a96ecb268541	ja	difficult-pronounce
会場の周辺には、原宿駅や、代々木駅もあるし、ちょっと歩けば、新宿御苑駅もある。	2f533623b17583706a6a981bf38e903e5d372c088a2099158ad6a547a14fb162	ja	difficult-pronounce
会場の周辺には、原宿駅や、代々木駅もあるし、ちょっと歩けば、新宿御苑駅もある。	2f533623b17583706a6a981bf38e903e5d372c088a2099158ad6a547a14fb162	ja	?????????????????????????
スウェーデン移民の両親の許にマサチューセッツ州ケンブリッジにて生まれる	476f34b7877f5f54d8991662dbd298e645a75ea3c0a62bdd1705fc4a14fa02eb	ja	grammar-or-spelling
不思議な感銘と、不意を疲れる脅威を覚える時、感情移入せずにはいられなかった。	bcf3ac8c938c3ca4d721e009a38f07706845ea189ef21631907dd65e462ee9b2	ja	grammar-or-spelling
母は、怒って、豆を地べたに投げつけた。	bd70c4046357246b0c8805fe375902ad27b766e7a03c70a5de67b79204268980	ja	offensive-language
広い構内に、レストランや、列車食堂などを配し、札幌ビール園に似た雰囲気だ。	bad3a0d96f1744f5656c05fe9379639b1b6b19f5d46e85da873fb38272b225ea	ja	grammar-or-spelling
毎日日本語を勉強していますが、漢字が覚えられません。	a5e7c2f693abd337d5cab3686e8db89ede414be85812f497e36c698d7f59e790	ja	offensive-language
テーブルの上に花瓶を置きました。	d2458387b1dab338dd2180b4a70a3302f7d2b81dac81d88f731daf6a04a1d1e7	ja	????????????????????
友だちとよく映画を見たりプールに行ったりします。	a44fabe074904d25991fd6e62824a23255c44048f72f87c8aba9cb3e3b8375ee	ja	????????????????????????
不況で、中小企業がどんどん倒れるので、競争相手が多くなった。	b3b0a39c10233e92115463978721d5c7040c4ea75f48ec2b4946934257487bc0	ja	grammar-or-spelling
不思議な感銘と、不意を疲れる脅威を覚える時、感情移入せずにはいられなかった。	bcf3ac8c938c3ca4d721e009a38f07706845ea189ef21631907dd65e462ee9b2	ja	grammar-or-spelling
不思議な感銘と、不意を疲れる脅威を覚える時、感情移入せずにはいられなかった。	bcf3ac8c938c3ca4d721e009a38f07706845ea189ef21631907dd65e462ee9b2	ja	grammar-or-spelling
プレイヤーキャラクターは宮殿を占拠した邪悪なクリーチャーに遭遇する	82b3d88696b9184d151b789bd45519ad6657e8a6c511873d7fd196cfff4f5844	ja	different-language
山田さんは小林さんの誕生日に時計をあげました。	b63c488531e96fb12b20d45d4e033fc8e5776481cba9b710c8e89567baa1b3a7	ja	different-language
不思議な感銘と、不意を疲れる脅威を覚える時、感情移入せずにはいられなかった。	bcf3ac8c938c3ca4d721e009a38f07706845ea189ef21631907dd65e462ee9b2	ja	different-language
不思議な感銘と、不意を疲れる脅威を覚える時、感情移入せずにはいられなかった。	bcf3ac8c938c3ca4d721e009a38f07706845ea189ef21631907dd65e462ee9b2	ja	grammar-or-spelling
日本の女性を含め、彼女たちは、軍需物資なみに扱われた。	8246b65f55c971390ad0d0c8ad8f4bb6f3cd88d6407fb6a524da963f56e88ff5	ja	offensive-language
回りの美しい雪景色を見る余裕も出た。	a70191551024425a9cd122fb6562ce1465d5420d6d9989bd960f03e3a0295c19	ja	grammar-or-spelling
日本の女性を含め、彼女たちは、軍需物資なみに扱われた。	8246b65f55c971390ad0d0c8ad8f4bb6f3cd88d6407fb6a524da963f56e88ff5	ja	offensive-language
不思議な感銘と、不意を疲れる脅威を覚える時、感情移入せずにはいられなかった。	bcf3ac8c938c3ca4d721e009a38f07706845ea189ef21631907dd65e462ee9b2	ja	grammar-or-spelling
日本の女性を含め、彼女たちは、軍需物資なみに扱われた。	8246b65f55c971390ad0d0c8ad8f4bb6f3cd88d6407fb6a524da963f56e88ff5	ja	offensive-language
日本の女性を含め、彼女たちは、軍需物資なみに扱われた。	8246b65f55c971390ad0d0c8ad8f4bb6f3cd88d6407fb6a524da963f56e88ff5	ja	offensive-language
